State	County	Year	Est. Population
Washington	Balance of Pend Oreille County	2015	9767
Washington	Pierce County	2010	795229
Washington	Pierce County	2011	795422
Washington	Pierce County	2012	803320
Washington	Pierce County	2013	811987
Washington	Pierce County	2014	819336
Washington	Pierce County	2015	831161
Washington	Balance of Pierce County	2010	366379
Washington	Balance of Pierce County	2011	366462
Washington	Balance of Pierce County	2012	370311
Washington	Balance of Pierce County	2013	373937
Washington	Balance of Pierce County	2014	377629
Washington	Balance of Pierce County	2015	383952
Washington	San Juan County	2010	15769
Washington	San Juan County	2011	15770
Washington	San Juan County	2012	15818
Washington	San Juan County	2013	15806
Washington	San Juan County	2014	15877
Washington	San Juan County	2015	16026
Washington	Balance of San Juan County	2010	13601
Washington	Balance of San Juan County	2011	13605
Washington	Balance of San Juan County	2012	13551
Washington	Balance of San Juan County	2013	13522
Washington	Balance of San Juan County	2014	13598
Washington	Balance of San Juan County	2015	13718
Washington	Skagit County	2010	116901
Washington	Skagit County	2011	117004
Washington	Skagit County	2012	117768
Washington	Skagit County	2013	118032
Washington	Skagit County	2014	118745
Washington	Skagit County	2015	120325
Washington	Balance of Skagit County	2010	48065
Washington	Balance of Skagit County	2011	48086
Washington	Balance of Skagit County	2012	48358
Washington	Balance of Skagit County	2013	48393
Washington	Balance of Skagit County	2014	48558
Washington	Balance of Skagit County	2015	49080
Washington	Skamania County	2010	11066
Washington	Skamania County	2011	11100
Washington	Skamania County	2012	11126
Washington	Skamania County	2013	11155
Washington	Skamania County	2014	11255
Washington	Skamania County	2015	11338
Washington	Balance of Skamania County	2010	8645
Washington	Balance of Skamania County	2011	8670
Washington	Balance of Skamania County	2012	8692
Washington	Balance of Skamania County	2013	8718
Washington	Balance of Skamania County	2014	8799
Washington	Balance of Skamania County	2015	8869
Washington	Snohomish County	2010	713330
Washington	Snohomish County	2011	715515
Washington	Snohomish County	2012	722494
Washington	Snohomish County	2013	732844
Washington	Snohomish County	2014	746008
Washington	Snohomish County	2015	759417
Washington	Balance of Snohomish County	2010	302113
Washington	Balance of Snohomish County	2011	303248
Washington	Balance of Snohomish County	2012	307073
Washington	Balance of Snohomish County	2013	312695
Washington	Balance of Snohomish County	2014	320762
Washington	Balance of Snohomish County	2015	328470
Washington	Spokane County	2010	471221
Washington	Spokane County	2011	472127
Washington	Spokane County	2012	473484
Washington	Spokane County	2013	475880
Washington	Spokane County	2014	479434
Washington	Spokane County	2015	484418
Washington	Balance of Spokane County	2010	135584
Washington	Balance of Spokane County	2011	135877
Washington	Balance of Spokane County	2012	136997
Washington	Balance of Spokane County	2013	138241
Washington	Balance of Spokane County	2014	139465
Washington	Balance of Spokane County	2015	141146
Washington	Stevens County	2010	43531
Washington	Stevens County	2011	43487
Washington	Stevens County	2012	43487
Washington	Stevens County	2013	43567
Washington	Stevens County	2014	43341
Washington	Stevens County	2015	43556
Washington	Balance of Stevens County	2010	33877
Washington	Balance of Stevens County	2011	33844
Washington	Balance of Stevens County	2012	33850
Washington	Balance of Stevens County	2013	33921
Washington	Balance of Stevens County	2014	33770
Washington	Balance of Stevens County	2015	33927
Washington	Thurston County	2010	252264
Washington	Thurston County	2011	253067
Washington	Thurston County	2012	256529
Washington	Thurston County	2013	258838
Washington	Thurston County	2014	262666
Washington	Thurston County	2015	266048
Washington	Balance of Thurston County	2010	134724
Washington	Balance of Thurston County	2011	135034
Washington	Balance of Thurston County	2012	136441
Washington	Balance of Thurston County	2013	137188
Washington	Balance of Thurston County	2014	138673
Washington	Balance of Thurston County	2015	139605
Washington	Wahkiakum County	2010	3978
Washington	Wahkiakum County	2011	3972
Washington	Wahkiakum County	2012	4018
Washington	Wahkiakum County	2013	3992
Washington	Wahkiakum County	2014	4057
Washington	Wahkiakum County	2015	4066
Washington	Balance of Wahkiakum County	2010	3446
Washington	Balance of Wahkiakum County	2011	3441
Washington	Balance of Wahkiakum County	2012	3483
Washington	Balance of Wahkiakum County	2013	3462
Washington	Balance of Wahkiakum County	2014	3520
Washington	Balance of Wahkiakum County	2015	3529
Washington	Walla Walla County	2010	58781
Washington	Walla Walla County	2011	58925
Washington	Walla Walla County	2012	59512
Washington	Walla Walla County	2013	59435
Washington	Walla Walla County	2014	59575
Washington	Walla Walla County	2015	59771
Washington	Balance of Walla Walla County	2010	16739
Washington	Balance of Walla Walla County	2011	16783
Washington	Balance of Walla Walla County	2012	17127
Washington	Balance of Walla Walla County	2013	17129
Washington	Balance of Walla Walla County	2014	17253
Washington	Balance of Walla Walla County	2015	17407
Washington	Whatcom County	2010	201140
Washington	Whatcom County	2011	201570
Washington	Whatcom County	2012	203415
Washington	Whatcom County	2013	204961
Washington	Whatcom County	2014	206349
Washington	Whatcom County	2015	208491
Washington	Balance of Whatcom County	2010	87028
Washington	Balance of Whatcom County	2011	87200
Washington	Balance of Whatcom County	2012	87889
Washington	Balance of Whatcom County	2013	88170
Washington	Balance of Whatcom County	2014	88400
Washington	Balance of Whatcom County	2015	88846
Washington	Whitman County	2010	44776
Washington	Whitman County	2011	44797
Washington	Whitman County	2012	45083
Washington	Whitman County	2013	46639
Washington	Whitman County	2014	46849
Washington	Whitman County	2015	46938
Washington	Balance of Whitman County	2010	5978
Washington	Balance of Whitman County	2011	5981
Washington	Balance of Whitman County	2012	6048
Washington	Balance of Whitman County	2013	6108
Washington	Balance of Whitman County	2014	6123
Washington	Balance of Whitman County	2015	6079
Washington	Yakima County	2010	243231
Washington	Yakima County	2011	244313
Washington	Yakima County	2012	246326
Washington	Yakima County	2013	246844
Washington	Yakima County	2014	247342
Washington	Yakima County	2015	247698
Washington	Balance of Yakima County	2010	83234
Washington	Balance of Yakima County	2011	83554
Washington	Balance of Yakima County	2012	83955
Washington	Balance of Yakima County	2013	84024
Washington	Balance of Yakima County	2014	83981
Washington	Balance of Yakima County	2015	84010
West Virginia	Barbour County	2010	16589
West Virginia	Barbour County	2011	16596
West Virginia	Barbour County	2012	16599
West Virginia	Barbour County	2013	16861
West Virginia	Barbour County	2014	16781
West Virginia	Barbour County	2015	16708
West Virginia	Balance of Barbour County	2010	11185
West Virginia	Balance of Barbour County	2011	11190
West Virginia	Balance of Barbour County	2012	11188
West Virginia	Balance of Barbour County	2013	11161
West Virginia	Balance of Barbour County	2014	11101
West Virginia	Balance of Barbour County	2015	11046
West Virginia	Berkeley County	2010	104172
West Virginia	Berkeley County	2011	104646
West Virginia	Berkeley County	2012	105706
West Virginia	Berkeley County	2013	107030
West Virginia	Berkeley County	2014	108589
West Virginia	Berkeley County	2015	110394
West Virginia	Balance of Berkeley County	2010	86648
West Virginia	Balance of Berkeley County	2011	87071
West Virginia	Balance of Berkeley County	2012	88049
West Virginia	Balance of Berkeley County	2013	89200
West Virginia	Balance of Berkeley County	2014	90679
West Virginia	Balance of Berkeley County	2015	92361
West Virginia	Boone County	2010	24627
West Virginia	Boone County	2011	24585
West Virginia	Boone County	2012	24446
West Virginia	Boone County	2013	24371
West Virginia	Boone County	2014	24077
West Virginia	Boone County	2015	23734
West Virginia	Balance of Boone County	2010	20193
West Virginia	Balance of Boone County	2011	20152
West Virginia	Balance of Boone County	2012	20052
West Virginia	Balance of Boone County	2013	19991
West Virginia	Balance of Boone County	2014	19748
West Virginia	Balance of Boone County	2015	19461
West Virginia	Braxton County	2010	14519
West Virginia	Braxton County	2011	14527
West Virginia	Braxton County	2012	14543
West Virginia	Braxton County	2013	14487
West Virginia	Braxton County	2014	14436
West Virginia	Braxton County	2015	14447
West Virginia	Balance of Braxton County	2010	11832
West Virginia	Balance of Braxton County	2011	11838
West Virginia	Balance of Braxton County	2012	11853
West Virginia	Balance of Braxton County	2013	11775
West Virginia	Balance of Braxton County	2014	11772
West Virginia	Balance of Braxton County	2015	11778
West Virginia	Brooke County	2010	24071
West Virginia	Brooke County	2011	24007
West Virginia	Brooke County	2012	23931
West Virginia	Brooke County	2013	23804
West Virginia	Brooke County	2014	23712
West Virginia	Brooke County	2015	23529
West Virginia	Balance of Brooke County	2010	12275
West Virginia	Balance of Brooke County	2011	12245
West Virginia	Balance of Brooke County	2012	12214
West Virginia	Balance of Brooke County	2013	12152
West Virginia	Balance of Brooke County	2014	12106
West Virginia	Balance of Brooke County	2015	12025
