City	State	Year	Est. Population
Five Points town	Alabama	2011	141
Five Points town	Alabama	2012	140
Five Points town	Alabama	2013	141
Five Points town	Alabama	2014	142
Five Points town	Alabama	2015	141
Flomaton town	Alabama	2010	1440
Flomaton town	Alabama	2011	1440
Flomaton town	Alabama	2012	1437
Flomaton town	Alabama	2013	1427
Flomaton town	Alabama	2014	1423
Flomaton town	Alabama	2015	1416
Florala town	Alabama	2010	1980
Florala town	Alabama	2011	1982
Florala town	Alabama	2012	1992
Florala town	Alabama	2013	1979
Florala town	Alabama	2014	1978
Florala town	Alabama	2015	1979
Forkland town	Alabama	2010	645
Forkland town	Alabama	2011	642
Forkland town	Alabama	2012	634
Forkland town	Alabama	2013	630
Forkland town	Alabama	2014	619
Forkland town	Alabama	2015	606
Fort Deposit town	Alabama	2010	1347
Fort Deposit town	Alabama	2011	1345
Fort Deposit town	Alabama	2012	1325
Fort Deposit town	Alabama	2013	1292
Fort Deposit town	Alabama	2014	1276
Fort Deposit town	Alabama	2015	1253
Franklin town	Alabama	2010	149
Franklin town	Alabama	2011	150
Franklin town	Alabama	2012	147
Franklin town	Alabama	2013	142
Franklin town	Alabama	2014	137
Franklin town	Alabama	2015	134
Frisco City town	Alabama	2010	1309
Frisco City town	Alabama	2011	1304
Frisco City town	Alabama	2012	1290
Frisco City town	Alabama	2013	1279
Frisco City town	Alabama	2014	1252
Frisco City town	Alabama	2015	1236
Fruithurst town	Alabama	2010	280
Fruithurst town	Alabama	2011	280
Fruithurst town	Alabama	2012	280
Fruithurst town	Alabama	2013	280
Fruithurst town	Alabama	2014	282
Fruithurst town	Alabama	2015	283
Fulton town	Alabama	2010	272
Fulton town	Alabama	2011	271
Fulton town	Alabama	2012	270
Fulton town	Alabama	2013	265
Fulton town	Alabama	2014	265
Fulton town	Alabama	2015	263
Fyffe town	Alabama	2010	1018
Fyffe town	Alabama	2011	1019
Fyffe town	Alabama	2012	1025
Fyffe town	Alabama	2013	1021
Fyffe town	Alabama	2014	1023
Fyffe town	Alabama	2015	1024
Gainesville town	Alabama	2010	208
Gainesville town	Alabama	2011	207
Gainesville town	Alabama	2012	203
Gainesville town	Alabama	2013	201
Gainesville town	Alabama	2014	201
Gainesville town	Alabama	2015	199
Gantt town	Alabama	2010	222
Gantt town	Alabama	2011	222
Gantt town	Alabama	2012	224
Gantt town	Alabama	2013	223
Gantt town	Alabama	2014	223
Gantt town	Alabama	2015	223
Garden City town	Alabama	2010	492
Garden City town	Alabama	2011	492
Garden City town	Alabama	2012	493
Garden City town	Alabama	2013	490
Garden City town	Alabama	2014	490
Garden City town	Alabama	2015	490
Gaylesville town	Alabama	2010	144
Gaylesville town	Alabama	2011	144
Gaylesville town	Alabama	2012	145
Gaylesville town	Alabama	2013	144
Gaylesville town	Alabama	2014	145
Gaylesville town	Alabama	2015	144
Geiger town	Alabama	2010	170
Geiger town	Alabama	2011	170
Geiger town	Alabama	2012	166
Geiger town	Alabama	2013	164
Geiger town	Alabama	2014	164
Geiger town	Alabama	2015	162
Georgiana town	Alabama	2010	1738
Georgiana town	Alabama	2011	1736
Georgiana town	Alabama	2012	1714
Georgiana town	Alabama	2013	1691
Georgiana town	Alabama	2014	1677
Georgiana town	Alabama	2015	1678
Geraldine town	Alabama	2010	899
Geraldine town	Alabama	2011	900
Geraldine town	Alabama	2012	903
Geraldine town	Alabama	2013	898
Geraldine town	Alabama	2014	898
Geraldine town	Alabama	2015	900
Gilbertown town	Alabama	2010	215
Gilbertown town	Alabama	2011	215
Gilbertown town	Alabama	2012	211
Gilbertown town	Alabama	2013	211
Gilbertown town	Alabama	2014	208
Gilbertown town	Alabama	2015	207
Glen Allen town	Alabama	2010	510
Glen Allen town	Alabama	2011	510
Glen Allen town	Alabama	2012	506
